SOURCE_ID,g_ra,g_dec,phot_g_mean_mag,bp_rp,parallax,pmra,pmdec,j_m,h_m,ks_m,ph_qual
604920786155223552,132.7717921169326,11.826132729168837,13.612037,0.7541914,1.1705226025286304,-10.731187040613,-3.0808784715450286,12.648,12.349,12.282,AAA
604920824810533376,132.78489103549325,11.835494425241782,13.431571,0.7471409,1.1469201738403147,-11.103540712604516,-3.1179265256072126,12.508,12.22,12.161,AAA
604920889234433792,132.78565081715647,11.848060001397988,13.643402,0.74637127,1.1601748817212127,-11.034828595446296,-2.835902269510723,12.703,12.438,12.366,AAA
604920923594172672,132.81010485552775,11.84452229275972,13.237622,0.74976254,1.1303945339284969,-11.249217358287863,-2.9227985404054975,12.281,12.031,11.948,AAA
604920923594172928,132.80665032201827,11.843909917167544,12.152578,0.8487072,1.0850906354783443,-11.073994303246012,-2.842373324440321,10.972,10.67,10.599,AAA
604920927889929216,132.80277383094378,11.842939491288519,13.486864,0.74941254,1.20271063953514,-10.965316517085267,-2.8011657932827903,12.536,12.276,12.194,AAA
604920957953908864,132.8066858189857,11.855077647183508,13.462174,0.7255087,1.1547919457577276,-10.991314316018503,-3.118405635862671,12.555,12.273,12.225,AAA
604920962249663360,132.8151086611252,11.848939492176996,12.771166,1.0141916,1.1324125709174995,-10.861669922182685,-2.685660267885666,11.485,11.094,11.013,AAA
604921030968952832,132.80559504321192,11.861146681281866,13.129307,1.2358694,1.1503627269383438,-11.098058500565763,-2.7875892145113923,11.657,11.058,10.958,AAA
604921129752600832,132.82816875996772,11.855184554157473,12.798285,1.0301142,1.158826963687591,-11.026172056298075,-2.6274121054894417,11.502,11.089,11.02,AAA
604921168408082048,132.84330749134082,11.858108397755396,13.148642,0.7470045,1.1553988837847953,-10.971762351217205,-2.9579439288922376,12.195,11.952,11.862,AAA
604921168408082304,132.84059596052379,11.861671331691054,13.88508,0.8465862,1.135786148489855,-10.990032475689425,-2.5663872548124838,12.797,12.465,12.386,AAA
604921198472075008,132.86996312231452,11.866647749676654,12.497738,0.8518305,1.153299274447539,-11.027758404833849,-2.8579704339902987,11.433,11.104,11.024,AAA
604921202767814528,132.86250050005347,11.864594294721323,10.931228,0.1225605,1.1612934664213521,-10.910086136415888,-2.6739446183740516,10.747,10.733,10.702,AAA
604921271487102464,132.85629405396207,11.87744089449727,13.119683,0.7652111,1.14643050404975,-10.672398106924422,-2.88575516255783,12.15,11.897,11.81,AAA
604921271487287296,132.86787429806353,11.871523661310622,12.661663,0.747283,1.1410040755521444,-11.152300603046722,-3.0508183111588667,11.721,11.443,11.383,AAA
604921374566321920,132.84058944598144,11.877177636754924,11.133349,0.80954266,1.1213831680840651,-11.074375348168813,-2.0525664984288654,10.105,9.816,9.76,AAA
604921374566323200,132.8339382340836,11.879991144648056,13.7203045,0.7516947,1.1344629850534564,-11.10349207367257,-3.171088218661551,12.772,12.545,12.457,AAA
604921374566324992,132.83199152304246,11.869638921895687,13.745495,0.8191881,1.1417129723773067,-11.141366496938833,-3.3194285431144994,12.717,12.368,12.305,AAA
604921438990241280,132.81560950891807,11.882997663173677,12.6730175,0.74487686,1.2440520907271904,-11.778616264215096,-1.5964761158001681,11.728,11.453,11.391,AAA
604921512005265664,132.86420507379762,11.890704974736725,12.605678,0.74795246,1.1336331819521603,-10.847552173393598,-2.9421103046705994,11.667,11.382,11.342,AAA
604921512005266048,132.85904725233848,11.897760851989633,10.205753,1.2274218,1.1845211386424317,-11.021045358810452,-2.663536525384217,8.619,8.113,7.96,AAA
604921649444253952,132.77478354023353,11.852748676940541,13.180007,0.75344753,0.6726823071634542,-1.1930295662032722,1.4636223169464546,12.189,11.928,11.866,AAA
604921718163730560,132.76865387371458,11.862766961055666,13.870309,0.85494804,0.9899585355993027,-10.986018950447043,-2.7895861285219405,12.76,12.426,12.358,AAA
604921821242942464,132.77046946681625,11.873921747812334,13.699832,0.7550669,1.1035419930331989,-10.5172070193173,-3.2066819570468885,12.718,12.48,12.395,AAA
604921855602675840,132.78127078733152,11.882246851764018,13.732728,0.7682867,1.1172560393619997,-11.092029463466428,-3.3215245888541185,12.744,12.493,12.413,AAA
604921855602675968,132.78005588537422,11.883864558840845,12.407134,0.89402103,1.1320137760582378,-11.03500903465228,-2.465414798744085,11.175,10.771,10.695,AAA
604921885666815360,132.73464294508156,11.858122866449648,13.959219,0.78636074,1.1674430580671058,-10.97677758088398,-3.2814025119760917,12.965,12.698,12.612,AAA
604921924322164608,132.74227388877856,11.87286832465289,12.614841,1.115695,1.2046753934273817,-11.17780767777843,-2.713906719888847,11.197,10.707,10.626,AAA
